Framework,Scope,Main_relevance_to_this_review
PRISMA-ScR,Scoping review reporting,"Primary reporting scaffold for search, charting, and synthesis"
STREAM-URO,Urology-specific machine-learning reporting,"Domain-specific expectations for urological prediction-model development and validation"
CLAIM,AI in medical imaging studies,"Imaging-specific requirements for data curation, reference standards, model description, evaluation, and failure analysis"
TRIPOD+AI and PROBAST+AI,Prediction-model reporting and risk of bias,"Appraisal of LUTS, ED, infertility, and oncologic risk-prediction models"
STARD-AI,Diagnostic accuracy reporting,"Transparent reporting of diagnostic AI accuracy studies in imaging and pathology"
DECIDE-AI SPIRIT-AI CONSORT-AI,Early clinical evaluation and trials,"Human factors, protocol transparency, workflow integration, and trial reporting when tools move into live evaluation"
FUTURE-AI,Trustworthy and deployable medical AI,"Lifecycle governance, fairness, robustness, usability, and clinical utility"
