DOI,PMID,First_Author,Year,Title,Use_Case,In_Analytic_Set,Counted_in_Publication_Totals,Reason_If_Not_Counted
10.1001/jamanetworkopen.2020.23267,33180129,Steiner DF,2020,Evaluation of the Use of Combined Artificial Intelligence and Pathologist Assessment to Review and Grade Prostate Biopsies.,Prostate digital pathology,Yes,Yes,
10.1016/s1470-2045(19)30738-7,31926806,Strom P,2020,"Artificial intelligence for diagnosis and grading of prostate cancer in biopsies: a population-based, diagnostic study.",Prostate digital pathology,Yes,Yes,
10.1038/s43856-021-00005-3,35602201,Wulczyn E,2021,Predicting prostate cancer specific-mortality with artificial intelligence-based Gleason grading.,Prostate digital pathology,Yes,Yes,
10.1097/ju.0000000000002390,34968146,Heller N,2022,Computer-Generated R.E.N.A.L. Nephrometry Scores Yield Comparable Predictive Results to Those of Human-Expert Scores in Predicting Oncologic and Perioperative Outcomes.,Renal radiomics and renal-mass prediction,Yes,Yes,
10.1007/s00330-023-09869-6,37389608,Nie P,2023,A CT-based deep learning radiomics nomogram outperforms the existing prognostic models for outcome prediction in clear cell renal cell carcinoma: a multicenter study.,Renal radiomics and renal-mass prediction,Yes,Yes,
10.1016/j.esmorw.2024.100078,41646097,Hetz MJ,2024,Superhuman performance on urology board questions using an explainable language model enhanced with European Association of Urology guidelines.,Retrieval-grounded guideline support,Yes,Yes,
10.1038/s41598-021-91081-x,34079004,Ali N,2021,Deep learning-based classification of blue light cystoscopy imaging during transurethral resection of bladder tumors.,Selected bladder cystoscopy systems,Yes,Yes,
10.1089/end.2023.0056,37432899,Chang TC,2023,Real-time Detection of Bladder Cancer Using Augmented Cystoscopy with Deep Learning: a Pilot Study.,Selected bladder cystoscopy systems,Yes,Yes,
10.1093/jnci/djab179,34473310,Wu S,2022,An Artificial Intelligence System for the Detection of Bladder Cancer via Cystoscopy: A Multicenter Diagnostic Study.,Selected bladder cystoscopy systems,Yes,Yes,
10.3390/jcm12237355,38068407,Checcucci E,2023,Development of Bleeding Artificial Intelligence Detector (BLAIR) System for Robotic Radical Prostatectomy.,Surgical video analytics and feedback,Yes,Yes,
10.1016/j.euros.2024.02.005,38585210,Gon Park S,2024,Deep Learning Model for Real‑time Semantic Segmentation During Intraoperative Robotic Prostatectomy.,Surgical video analytics and feedback,Yes,Yes,
10.1016/j.euros.2021.03.005,33959725,Hung,2021,Surgeon automated performance metrics as predictors of early urinary continence recovery after robotic radical prostatectomy,Surgical video analytics and feedback,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
10.1038/s41551-023-01010-8,36997732,Kiyasseh,2023,A vision transformer for decoding surgeon activity from surgical videos,Surgical video analytics and feedback,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
10.1007/s00464-025-11967-z,40640619,Zhao X,2025,Automatic recognition of surgical phase of robot-assisted radical prostatectomy based on artificial intelligence deep-learning model and its application in surgical skill evaluation: a joint study of 18 medical education centers.,Surgical video analytics and feedback,Yes,Yes,
10.1016/j.urolonc.2023.11.002,38142209,Zuluaga L,2024,AI-powered real-time annotations during urologic surgery: The future of training and quality metrics.,Surgical video analytics and feedback,Yes,Yes,
10.1128/jcm.00291-23,37227272,Seheult JN,2023,"Development, Evaluation, and Multisite Deployment of a Machine Learning Decision Tree Algorithm To Optimize Urinalysis Parameters for Predicting Urine Culture Positivity.",UTI triage and stewardship support,Yes,Yes,
10.1038/s41746-024-01400-5,39870860,Shapiro Ben David,2025,AI driven decision support reduces antibiotic mismatches and inappropriate use in outpatient urinary tract infections,UTI triage and stewardship support,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
